,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2017 (R$), Público 2017,Salas Abertura,Estreia, renda (R$),público
Velozes e furiosos 8,The Fate of the Furious,Universal,  133.420.000 ,  8.504.737 ,1.512,13/4/17,133.420.000,8.504.737
Liga da Justiça,Justice league,Warner,  131.218.000 ,  8.416.544 ,1.582,16/11/17,131.218.000,8.416.544
A Bela e a Fera,Beauty and the Beast,Disney,  130.098.000 ,  8.309.801 ,1.399,16/3/17,130.098.000,8.309.801
Meu malvado favorito 3,Despicable me 3,Universal,  126.007.000 ,  8.996.130 ,1.319,29/6/17,126.007.000,8.996.130
Mulher-Maravilha, Wonder Woman,Warner,  109.700.000 ,  7.053.736 ,1.287,1/6/17,109.700.000,7.053.736
Homem-Aranha: De volta ao lar,Spider-man - Homecoming,Sony,  102.686.000 ,  6.715.848 ,1.546,6/7/17,102.686.000,6.715.848
Thor: Ragnarok,Thor: Ragnarok,Disney,  99.924.700 ,  6.371.808 ,1.565,26/10/17,99.924.700,6.371.808
Logan,Logan,Fox,  91.226.300 ,  6.439.753 ,1.288,2/3/17,91.226.300,6.439.753
Minha mãe é uma peça 2,Minha mãe é uma peça 2,DTF/Paris,  89.279.600 ,  6.566.550 ,1.231,22/12/16,124.255.904,9.320.359
A cabana,The Shack,Paris,  74.712.700 ,  5.102.909 ,843,6/4/17,74.712.700,5.102.909
Moana - Um mar de aventuras,Moana,Disney,  71.610.700 ,  5.149.077 ,1.211,5/1/17,71.610.700,5.149.077
Guardiões da Galáxia 2,The Guardians of the Galaxy 2,Disney,  67.539.800 ,  4.208.491 ,1.312,27/4/17,67.539.800,4.208.491
Cinquenta tons mais escuros,Fifty shades darker,Universal,  66.570.600 ,  4.628.938 ,1.532,9/2/17,66.570.600,4.628.938
It - A coisa,It,Warner,  62.061.000 ,  4.451.312 ,863,7/9/17,62.061.000,4.451.312
Piratas do Caribe - A vingança de Salazar,Pirates of the Caribbean: Dead men tell no tales,Disney,  55.003.600 ,  3.659.969 ,1.400,25/5/17,55.003.600,3.659.969
Star Wars - Os últimos jedi,Star Wars - The last jedi,Disney,  53.243.900 ,  2.954.229 ,1.641,14/12/17,53.243.900,2.954.229
Extraordinário,Wonder,Paris,  52.893.500 ,  3.787.134 ,878,7/12/17,52.893.500,3.787.134
A múmia,The mummy,Universal,  47.432.100 ,  3.054.033 ,1.102,8/6/17,47.432.100,3.054.033
O poderoso chefinho,The boss baby,Fox,  46.194.000 ,  3.240.436 ,898,30/3/17,46.194.000,3.240.436
Planeta dos macacos - A guerra,War for the Planet of the Apes,Fox,  43.032.400 ,  2.718.820 ,1.167,3/8/17,43.032.400,2.718.820
Transformers: O último cavaleiro,Transformers: The last knight,Paramount,  42.714.800 ,  2.853.206 ,1.145,20/7/17,42.714.800,2.853.206
Annabelle 2 - A criação do mal,Annabelle 2,Warner,  40.566.100 ,  2.980.561 ,1.255,17/8/17,40.566.100,2.980.561
Carros 3,Cars 3,Disney,  34.554.900 ,  2.527.185 ,1.156,13/7/17,34.554.900,2.527.185
Assassin's Creed,Assassin's Creed,Fox,  32.695.500 ,  2.071.518 ,902,12/1/17,32.695.500,2.071.518
Kong - A ilha da caveira,Kong - Skull Island,Warner,  29.349.300 ,  1.920.063 ,906,9/3/17,29.349.300,1.920.063
A grande muralha,The Great Wall,Universal,  27.179.500 ,  1.717.210 ,814,23/2/17,27.179.500,1.717.210
Emoji - O filme,The Emoji Movie,Sony,  23.663.300 ,  1.694.482 ,854,31/8/17,23.663.300,1.694.482
La la Land - Cantando estações,La la Land,Paris,  23.583.800 ,  1.383.112 ,326,19/1/17,23.583.800,1.383.112
Passageiros,Passengers,Sony,  22.344.200 ,  1.300.496 ,676,5/1/17,22.344.200,1.300.496
Polícia Federal - A lei é para todos,Polícia Federal - A lei é para todos,DTF/Paris,  21.702.400 ,  1.383.878 ,794,7/9/17,21.702.400,1.383.878
Pica-Pau,Woody Woodpecker,Universal,  21.131.000 ,  1.635.280 ,728,5/10/17,21.131.000,1.635.280
O chamado 3,Rings,Paramount,  20.936.100 ,  1.528.477 ,611,2/2/17,20.936.100,1.528.477
Os Smurfs e a vila perdida,Smurfs: The lost village,Sony,  20.854.100 ,  1.468.260 ,872,6/4/17,20.854.100,1.468.260
Lego Batman,The Lego Batman Movie,Warner,  19.787.000 ,  1.343.347 ,777,9/2/17,19.787.000,1.343.347
xXx - Reativado,XXX - The return of Xander Cage,Paramount,  19.601.900 ,  1.297.093 ,783,19/1/17,19.601.900,1.297.093
Resident Evil 6 - O capítulo final,Resident Evil: The Final Chapter,Sony,  18.981.100 ,  1.221.571 ,699,26/1/17,18.981.100,1.221.571
Os parças,"Parças, Os",DTF/Paris,  17.665.200 ,  1.305.252 ,334,30/11/17,17.665.200,1.305.252
Blade runner 2049,Blade runner 2049,Sony,  17.090.700 ,  907.145 ,723,5/10/17,17.090.700,907.145
Assassinato no Expresso do Oriente,Murder on the Orient Express,Fox,  16.738.300 ,  1.005.730 ,362,30/11/17,16.738.300,1.005.730
Kingsman - O círculo dourado,Kingsman: The golden circle,Fox,  16.424.100 ,  1.032.044 ,840,28/9/17,16.424.100,1.032.044
Detetives do prédio azul,Detetives do prédio azul,DTF/Paris,  16.085.900 ,  1.219.470 ,515,20/7/17,16.085.900,1.219.470
Power Rangers,Power Rangers,Paris,  15.851.000 ,  1.233.619 ,841,23/3/17,15.851.000,1.233.619
Rei Arthur - A lenda da espada,King Arthur - Legend of the sword,Warner,  15.499.900 ,  961.626 ,867,18/5/17,15.499.900,961.626
Fragmentado,Split,Universal,  15.189.800 ,  1.011.384 ,615,23/3/17,15.189.800,1.011.384
Sing - Quem canta seus males espanta,Sing,Universal,  15.161.200 ,  1.204.542 ,999,22/12/16,35.291.935,2.705.513
Dunkirk,Dunkirk,Warner,  14.425.100 ,  794.493 ,476,27/7/17,14.425.100,794.493
Tempestade - Planeta em fúria,Geostorm,Warner,  14.327.700 ,  914.177 ,602,19/10/17,14.327.700,914.177
A morte te dá parabéns,Happy death day,Universal,  13.705.800 ,  1.014.940 ,557,12/10/17,13.705.800,1.014.940
A Torre Negra,The Dark Tower,Sony,  12.633.900 ,  906.851 ,683,24/8/17,12.633.900,906.851
A Vigilante do Amanhã: Ghost in the shell,Ghost in the Shell,Paramount,  12.220.900 ,  736.002 ,768,30/3/17,12.220.900,736.002
Alien: Covenant,Alien: Covenant,Fox,  9.602.300 ,  667.624 ,849,11/5/17,9.602.300,667.624
Jogos mortais - Jigsaw,Jigsaw,Paris,  9.435.770 ,  630.785 ,514,30/11/17,9.435.770,630.785
Em ritmo de fuga,Baby Driver,Sony,  9.015.990 ,  590.987 ,402,27/7/17,9.015.990,590.987
Feito na América,American made,Universal,  8.985.670 ,  554.772 ,534,14/9/17,8.985.670,554.772
Meus 15 anos,Meus 15 anos,DTF/Paris,  8.966.650 ,  739.726 ,590,22/6/17,8.966.650,739.726
Beleza oculta,Collateral beauty,Warner,  8.904.940 ,  512.613 ,271,26/1/17,8.904.940,512.613
Rogue One - Uma história Star Wars,Rogue One: A Star Wars Story,Disney,  8.870.690 ,  536.160 ,1.379,15/12/16,48.311.383,2.867.146
Baywatch - S.O.S. Malibu,Baywatch,Paramount,  8.763.480 ,  654.988 ,446,15/6/17,8.763.480,654.988
Aventuras do Capitão Cueca - O filme,Captain underpants: The First Epic Movie,Fox,  8.633.560 ,  571.543 ,582,12/10/17,8.633.560,571.543
O circulo,The Circle,Imagem,  8.317.840 ,  475.257 ,413,22/6/17,8.317.840,475.257
Mãe!,"mother!, ",Paramount,  8.166.980 ,  517.179 ,332,21/9/17,8.166.980,517.179
"Fala sério, mãe!","Fala sério, mãe!",DTF/Paris,  8.090.740 ,  599.579 ,681,28/12/17,8.090.740,599.579
Um tio quase perfeito,"Tio quase perfeito, Um",H2O Films,  7.995.480 ,  579.232 ,311,15/6/17,7.995.480,579.232
Valerian e a cidade dos mil planetas,Valerian and the city of a thousand planets,Diamond Films,  7.825.960 ,  509.391 ,833,10/8/17,7.825.960,509.391
Depois daquela montanha,The mountain between us,Fox,  7.752.210 ,  443.258 ,247,2/11/17,7.752.210,443.258
John Wick 2 - Um novo dia para matar,John Wick 2,Paris,  7.747.380 ,  550.981 ,372,16/2/17,7.747.380,550.981
A bailarina, Ballerina,Paris,  7.617.960 ,  546.984 ,463,26/1/17,7.617.960,546.984
Quatro vidas de um cachorro,A dog's purpose,Universal,  6.870.970 ,  513.291 ,419,26/1/17,6.870.970,513.291
Eu fico loko,Eu fico loko,DTF/Paris,  6.818.450 ,  556.352 ,618,12/1/17,6.818.450,556.352
Como se tornar o pior aluno da escola,Como se tornar o pior aluno da escola,DTF/Paris,  6.794.380 ,  501.862 ,356,12/10/17,6.794.380,501.862
Aliados,allied,Paramount,  6.621.390 ,  394.964 ,269,16/2/17,6.621.390,394.964
Estrelas além do tempo,Hidden figures,Fox,  6.612.580 ,  399.373 ,271,2/2/17,6.612.580,399.373
Divórcio,Divórcio,Warner,  6.584.550 ,  497.713 ,577,21/9/17,6.584.550,497.713
Pai em dose dupla 2,Daddy's home 2,Paramount,  6.198.120 ,  450.655 ,470,23/11/17,6.198.120,450.655
A estrela de Belém,The star,Sony,  5.912.030 ,  478.929 ,438,30/11/17,5.912.030,478.929
Moonlight - Sob a luz do luar,Moonlight,Diamond Films,  5.851.280 ,  341.969 ,63,23/2/17,5.851.280,341.969
Atômica,Atomic blonde,Universal,  5.831.110 ,  376.446 ,502,31/8/17,5.831.110,376.446
Corra!,Get Out,Universal,  5.672.670 ,  382.879 ,444,18/5/17,5.672.670,382.879
Os penetras 2 - Quem dá mais?,"Penetras 2 - Quem dá mais?, Os",H2O/Universal,  5.614.830 ,  404.875 ,444,19/1/17,5.614.830,404.875
Vida,Life,Sony,  5.330.410 ,  313.426 ,262,20/4/17,5.330.410,313.426
Internet - o filme,Internet - o filme,DTF/Paris,  4.911.240 ,  379.103 ,414,23/2/17,4.911.240,379.103
Lego Ninjago - O filme,The Lego Ninjago movie,Warner,  4.869.560 ,  337.005 ,713,28/9/17,4.869.560,337.005
Até o último homem,Hacksaw ridge,Diamond Films,  4.867.210 ,  274.802 ,121,26/1/17,4.867.210,274.802
Monster Trucks,Monster Trucks,Paramount,  4.553.700 ,  340.323 ,493,23/2/17,4.553.700,340.323
O rei do show,The greatest showman,Fox,  4.508.650 ,  284.453 ,462,25/12/17,4.508.650,284.453
A noiva,Hebecta,Paris,  4.364.290 ,  314.444 ,271,2/11/17,4.364.290,314.444
O filme da minha vida,"Filme da minha vida, O",Vitrine,  4.351.370 ,  284.968 ,253,3/8/17,4.351.370,284.968
Lino - O filme,Lino - O filme,Fox,  4.349.910 ,  318.233 ,446,7/9/17,4.349.910,318.233
"Big pai, big filho",The son of bigfoot,Imagem,  4.249.740 ,  313.965 ,424,2/11/17,4.249.740,313.965
Bingo - O rei das manhãs,Bingo - O rei das manhãs,Warner,  4.032.760 ,  261.153 ,400,24/8/17,4.032.760,261.153
Duas de mim,Duas de mim,DTF/Paris,  3.903.210 ,  290.627 ,280,28/9/17,3.903.210,290.627
Lion - Uma jornada para casa,Lion,Diamond Films,  3.697.240 ,  208.822 ,114,16/2/17,3.697.240,208.822
Invasão Zumbi,Train to busan,Paris,  3.639.140 ,  290.078 ,384,29/12/16,5.335.781,423.897
Dupla Explosiva,The Hitman's Bodyguard,California,  3.577.890 ,  244.358 ,389,31/8/17,3.577.890,244.358
Jumanji: Bem-vindo à selva,Jumanji - Welcome to the jungle,Sony,  3.452.600 ,  211.434 ,935,4/1/18,nd,nd
As aventuras de Tadeo 2 - O segredo do Rei Midas,Tadeo Jones 2 - El secreto del Rey Midas,Paramount,  3.438.590 ,  250.671 ,518,21/12/17,3.438.590,250.671
7 desejos,Wish upon,Imagem,  3.433.070 ,  251.496 ,352,27/7/17,3.433.070,251.496
Como nossos pais,Como nossos pais,Imovision,  3.428.700 ,  203.878 ,129,31/8/17,3.428.700,203.878
"TOC - Transtornada, obsessiva, compulsiva","TOC - Transtornada, obsessiva, compulsiva",DTF/Paris,  3.357.880 ,  246.183 ,306,2/2/17,3.357.880,246.183
Além da morte,Flatliners,Sony,  3.184.540 ,  242.171 ,435,19/10/17,3.184.540,242.171
A autópsia,The Autopsy of Jane Doe,Diamond Films,  2.981.190 ,  211.941 ,252,4/5/17,2.981.190,211.941
Antes que eu vá,Before I fall,Paris,  2.822.880 ,  189.500 ,267,18/5/17,2.822.880,189.500
Ninguém entra ninguém sai,Ninguém entra ninguém sai,Imagem,  2.649.630 ,  199.567 ,396,4/5/17,2.649.630,199.567
As aventuras de Ozzy,Ozzy,Playarte,  2.493.910 ,  183.254 ,259,1/6/17,2.493.910,183.254
Gosto se discute,Gosto se discute,Imagem,  2.426.930 ,  174.421 ,345,9/11/17,2.426.930,174.421
Despedida em grande estilo,Going in style,Warner,  2.338.770 ,  133.139 ,125,6/4/17,2.338.770,133.139
Assassino - O primeiro alvo,American Assassin,Paris,  2.314.960 ,  167.953 ,300,21/9/17,2.314.960,167.953
Paris pode esperar,Paris Can Wait,California,  2.248.680 ,  117.638 ,47,8/6/17,2.248.680,117.638
Amityville - o despertar,Amityville,Paris,  2.225.980 ,  173.238 ,294,14/9/17,2.225.980,173.238
Chocante,Chocante,Imagem,  2.205.120 ,  158.103 ,478,5/10/17,2.205.120,158.103
Victoria e Abdul - O confidente da rainha,Victoria and Abdul,Universal,  2.180.170 ,  109.203 ,62,16/11/17,2.180.170,109.203
Dominação,Incarnate,Playarte,  2.058.990 ,  143.460 ,223,5/1/17,2.058.990,143.460
Uma família feliz,Happy Family,Paris,  2.049.130 ,  148.054 ,356,17/8/17,2.049.130,148.054
