,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
1,Vingadores - Ultimato,Avengers - End game,Disney,4/25/2019,EUA,Ação,12,3.129,"338.642.602,77",19.731.527
2,O rei leão,The lion king,Disney,7/18/2019,EUA,Aventura,10,2.372,"265.804.481,67",16.289.943
3,Coringa,Joker,Warner,10/3/2019,EUA,Drama,16,1.767,"158.124.324,18",9.871.188
4,Capitã Marvel,Captain Marvel,Disney,3/7/2019,EUA,Ação,12,2.305,"146.759.270,76",9.041.171
5,Toy Story 4,Toy Story 4,Disney,6/20/2019,EUA,Animação,Livre,1.753,"124.535.553,32",7.989.183
6,Homem-Aranha - Longe de casa,Spider-Man - Far from home,Sony,7/4/2019,EUA,Aventura,10,1.926,"106.336.070,93",6.563.816
7,Malévola - Dona do mal,Maleficent: Mistress of Evil,Disney,10/17/2019,EUA,Aventura,10,1.499,"91.410.535,27",5.802.007
8,Aladdin,Aladdin,Disney,5/23/2019,EUA,Aventura,10,1.277,"80.137.793,69",4.818.759
9,Minha vida em Marte,Minha vida em Marte,DTF/Paris,12/27/2018,Brasil,Comédia,12,933,"67.610.267,12",4.415.934
10,WiFi Ralph - Quebrando a internet,Ralph breaks the internet - Wreck it Ralph 2,Disney,1/3/2019,EUA,Animação,Livre,1.175,"64.840.686,92",4.417.864
11,Nada a perder - Parte 2,Nada a perder - Parte 2,DTF/Paris,8/15/2019,Brasil,Biografia,12,1.031,"58.928.583,69",6.078.971
12,Como treinar o seu dragão 3,How to train your dragon 3,Universal,1/17/2019,EUA,Animação,Livre,1.087,"58.484.319,64",3.958.170
13,Shazam!,Shazam!,Warner,4/4/2019,EUA,Ação,12,1.557,"47.816.996,96",2.934.426
14,It - Capítulo 2,It 2,Warner,9/5/2019,EUA,Terror,16,2.112,"47.433.450,52",3.148.141
15,Aquaman,Aquaman,Warner,12/13/2018,EUA,Ação,12,1.840,"46.781.096,62",2.931.126
16,Velozes e furiosos - Hobbs & Shaw,Fast & furious presents Hobbs & Shaw,Universal,8/1/2019,EUA,Ação,14,1.588,"44.248.054,10",2.755.038
17,Star Wars - A ascensão Skywalker,Star Wars - The rise of Skywalker,Disney,12/19/2019,EUA,Ficção-científica,10,2.443,"41.226.459,18",2.130.416
18,Minha mãe é uma peça 3,Minha mãe é uma peça 3,DTF/Paris,12/26/2019,Brasil,Comédia,12,1.957,"38.404.102,18",2.437.838
19,Homem-Aranha no Aranhaverso,Spider-Man into the Spider-Verse,Sony,1/10/2019,EUA,Animação,10,1.026,"31.219.319,42",2.068.319
20,Turma da Mônica - Laços,Turma da Mônica - Laços,DTF/Paris,6/27/2019,Brasil,Aventura,livre,743,"30.291.281,39",2.118.953
21,Dumbo,Dumbo,Disney,3/28/2019,EUA,Aventura,10,1.503,"29.683.126,23",1.861.731
22,De pernas pro ar 3,De pernas pro ar 3,DTF/Paris,4/11/2019,Brasil,Comédia,14,1.019,"28.341.869,78",1.829.317
23,Pets - A vida secreta dos bichos 2,The secret life of pets 2,Universal,6/27/2019,EUA,Animação,Livre,1.181,"27.694.672,55",1.932.583
24,X-Men - Fênix Negra,Dark Phoenix,Fox,6/6/2019,EUA,Ação,12,1.289,"27.218.343,95",1.679.084
25,Annabelle 3 - De volta para casa,Annabelle 3,Warner,6/27/2019,EUA,Terror,14,1.142,"26.329.560,71",1.784.416
26,Superação - O milagre da fé,Breakthrough,Fox,4/11/2019,EUA,Biografia,10,809,"24.899.488,72",1.731.269
27,A família Addams,Addams family,Universal,10/31/2019,EUA,Animação,Livre,905,"24.335.284,62",1.623.017
28,Vidro,Glass,Disney,1/17/2019,EUA,Suspense,14,606,"22.392.142,89",1.376.097
29,Era uma vez em Hollywood,Once upon a time in Hollywood,Sony,8/15/2019,EUA,Comédia - Dramática,16,580,"20.967.827,08",1.059.344
30,A cinco passos de você,Five feet apart,Paris,3/21/2019,EUA,Drama,12,610,"19.324.196,22",1.342.142
31,Os parças 2,Os parças 2,DTF/Paris,11/28/2019,Brasil,Comédia,12,552,"18.388.295,84",1.293.996
32,Dragon Ball Super Broly - O filme,Dragon Ball Super Broly,Fox,1/3/2019,Japão,Animação,10,717,"18.138.268,94",1.301.048
33,Pokémon - Detetive Pikachu,Detective Pikachu,Warner,5/9/2019,EUA/ Japão,Aventura,12,1.001,"17.714.234,32",1.138.199
34,Alita - Anjo de combate,Alita - Battle angel,Fox,2/14/2019,EUA/ Argentina/ Canadá,Ficção-científica,14,1.033,"16.936.699,51",1.037.904
35,MIB: Homens de preto - Internacional,Men in black international,Sony,6/13/2019,EUA,Aventura,12,1.111,"16.273.703,00",987.723
36,O exterminador do futuro - Destino sombrio,Terminator - Dark fate,Disney,10/31/2019,EUA,Ação,14,1.039,"16.167.260,42",1.024.886
37,John Wick 3 - Parabellum,John Wick: Chapter 3 - Parabellum,Paris,5/16/2019,EUA,Ação,16,534,"15.695.219,92",1.003.182
38,Abominável,Abominable,Universal,9/26/2019,EUA,Animação,Livre,930,"15.115.501,16",1.032.007
39,Rocketman,Rocketman,Paramount,5/30/2019,Reino Unido,Biografia,16,474,"15.037.357,39",734.653
40,Projeto Gemini,Gemini Man,Paramount,10/10/2019,EUA,Ficção-científica,14,679,"13.582.431,63",833.804
