,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2019 (R$), Público 2019,Salas Abertura,Estreia, renda (R$),público
Vingadores - Ultimato,Avengers - End game,Disney,338.642.603,19.731.527,3.129,4/25/2019,338.642.603,19.731.527
O rei leão,The lion king,Disney,265.804.482,16.289.943,2.372,7/18/2019,265.804.482,16.289.943
Coringa,Joker,Warner,158.124.324,9.871.188,1.767,10/3/2019,158.124.324,9.871.188
Capitã Marvel,Captain Marvel,Disney,146.759.271,9.041.171,2.305,3/7/2019,146.759.271,9.041.171
Toy Story 4,Toy Story 4,Disney,124.535.553,7.989.183,1.753,6/20/2019,124.535.553,7.989.183
Homem-Aranha - Longe de casa,Spider-Man - Far from home,Sony,106.336.071,6.563.816,1.926,7/4/2019,106.336.071,6.563.816
Malévola - Dona do mal,Maleficent: Mistress of Evil,Disney,91.410.535,5.802.007,1.499,10/17/2019,91.410.535,5.802.007
Aladdin,Aladdin,Disney,80.137.794,4.818.759,1.277,5/23/2019,80.137.794,4.818.759
Minha vida em Marte,Minha vida em Marte,DTF/Paris,67.610.267,4.415.934,933,12/27/2018,82.067.246,5.340.978
WiFi Ralph - Quebrando a internet,Ralph breaks the internet - Wreck it Ralph 2,Disney,64.840.687,4.417.864,1.175,1/3/2019,64.840.687,4.417.864
Nada a perder - Parte 2,Nada a perder - Parte 2,DTF/Paris,58.928.584,6.078.971,1.031,8/15/2019,58.928.584,6.078.971
Como treinar o seu dragão 3,How to train your dragon 3,Universal,58.484.320,3.958.170,1.087,1/17/2019,58.484.320,3.958.170
Shazam!,Shazam!,Warner,47.816.997,2.934.426,1.557,4/4/2019,47.816.997,2.934.426
It - Capítulo 2,It 2,Warner,47.433.451,3.148.141,2.112,9/5/2019,47.433.451,3.148.141
Aquaman,Aquaman,Warner,46.781.097,2.931.126,1.840,12/13/2018,140.024.979,8.605.782
Velozes e furiosos - Hobbs & Shaw,Fast & furious presents Hobbs & Shaw,Universal,44.248.054,2.755.038,1.588,8/1/2019,44.248.054,2.755.038
Star Wars - A ascensão Skywalker,Star Wars - The rise of Skywalker,Disney,41.226.459,2.130.416,2.443,12/19/2019,41.226.459,2.130.416
Minha mãe é uma peça 3,Minha mãe é uma peça 3,DTF/Paris,38.404.102,2.437.838,1.957,12/26/2019,38.404.102,2.437.838
Homem-Aranha no Aranhaverso,Spider-Man into the Spider-Verse,Sony,31.219.319,2.068.319,1.026,1/10/2019,31.219.319,2.068.319
Turma da Mônica - Laços,Turma da Mônica - Laços,DTF/Paris,30.291.281,2.118.953,743,6/27/2019,30.291.281,2.118.953
Dumbo,Dumbo,Disney,29.683.126,1.861.731,1.503,3/28/2019,29.683.126,1.861.731
De pernas pro ar 3,De pernas pro ar 3,DTF/Paris,28.341.870,1.829.317,1.019,4/11/2019,28.341.870,1.829.317
Pets - A vida secreta dos bichos 2,The secret life of pets 2,Universal,27.694.673,1.932.583,1.181,6/27/2019,27.694.673,1.932.583
X-Men - Fênix Negra,Dark Phoenix,Fox,27.218.344,1.679.084,1.289,6/6/2019,27.218.344,1.679.084
Annabelle 3 - De volta para casa,Annabelle 3,Warner,26.329.561,1.784.416,1.142,6/27/2019,26.329.561,1.784.416
Superação - O milagre da fé,Breakthrough,Fox,24.899.489,1.731.269,809,4/11/2019,24.899.489,1.731.269
A família Addams,Addams family,Universal,24.335.285,1.623.017,905,10/31/2019,24.335.285,1.623.017
Vidro,Glass,Disney,22.392.143,1.376.097,606,1/17/2019,22.392.143,1.376.097
Era uma vez em Hollywood,Once upon a time in Hollywood,Sony,20.967.827,1.059.344,580,8/15/2019,20.967.827,1.059.344
A cinco passos de você,Five feet apart,Paris,19.324.196,1.342.142,610,3/21/2019,19.324.196,1.342.142
Os parças 2,"Parças 2, Os",DTF/Paris,18.388.296,1.293.996,552,11/28/2019,18.388.296,1.293.996
Dragon Ball Super Broly - O filme,Dragon Ball Super Broly,Fox,18.138.269,1.301.048,717,1/3/2019,18.138.269,1.301.048
Pokémon - Detetive Pikachu,Detective Pikachu,Warner,17.714.234,1.138.199,1.001,5/9/2019,17.714.234,1.138.199
Alita - Anjo de combate,Alita - Battle angel,Fox,16.936.700,1.037.904,1.033,2/14/2019,16.936.700,1.037.904
MIB: Homens de preto - Internacional,Men in black international,Sony,16.273.703,987.723,1.111,6/13/2019,16.273.703,987.723
O exterminador do futuro - Destino sombrio,Terminator - Dark fate,Disney,16.167.260,1.024.886,1.039,10/31/2019,16.167.260,1.024.886
John Wick 3 - Parabellum,John Wick: Chapter 3 - Parabellum,Paris,15.695.220,1.003.182,534,5/16/2019,15.695.220,1.003.182
Abominável,Abominable,Universal,15.115.501,1.032.007,930,9/26/2019,15.115.501,1.032.007
Rocketman,Rocketman,Paramount,15.037.357,734.653,474,5/30/2019,15.037.357,734.653
Projeto Gemini,Gemini Man,Paramount,13.582.432,833.804,679,10/10/2019,13.582.432,833.804
Bumblebee,Bumblebee,Paramount,12.958.572,904.641,1.045,12/27/2018,24.629.129,1.627.214
Green book - O guia,Green book,Diamond Films,12.625.679,614.751,281,1/24/2019,12.625.679,614.751
Vai que cola 2 - O começo,Vai que cola 2 - O começo,H2O Films,12.481.619,854.312,776,9/12/2019,12.481.619,854.312
Angry Birds 2 - O filme,Angry Birds 2,Sony,12.349.112,890.049,771,10/3/2019,12.349.112,890.049
Yesterday,Yesterday,Universal,12.091.110,628.768,502,8/29/2019,12.091.110,628.768
O parque dos sonhos,Wonder park,Paramount,12.082.605,801.234,561,3/14/2019,12.082.605,801.234
Rambo - Até o fim,Rambo V - Last blood,Imagem / California,12.017.421,785.170,771,9/19/2019,12.017.421,785.170
Kardec,Kardec,Sony,11.798.544,752.469,489,5/16/2019,11.798.544,752.469
Bacurau,Bacurau,Vitrine Filmes,10.818.234,675.395,321,8/29/2019,10.818.234,675.395
Creed II,Creed II,Warner,10.569.944,682.333,624,1/24/2019,10.569.944,682.333
A caminho de casa,A dog's way home,Sony,9.536.137,663.655,455,2/28/2019,9.536.137,663.655
Mais que vencedores,Overcomer,360 WayUp/CanZión Films,9.400.121,722.403,497,11/21/2019,9.400.121,722.403
Dora e a cidade perdida,Dora and the lost city of gold,Paramount,8.876.875,594.898,653,11/14/2019,8.876.875,594.898
A morte te dá parabéns 2,Happy death day 2u,Universal,8.499.488,598.884,712,2/21/2019,8.499.488,598.884
