TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
Doutor Estranho no multiverso da loucura,Doctor Strange in the multiverse of madness,Disney,5/5/2022,EUA,Ação,14,3.831,169.432.219,8.489.795
Thor - Amor e trovão,Thor - Love and thunder,Disney,7/7/2022,EUA,Ação,14,3.678,123.869.111,6.449.997
Minions 2 - A origem de Gru,Minions - The rise of Gru,Universal,6/30/2022,EUA,Animação,Livre,2.555,122.037.788,6.983.319
Avatar - O caminho da água,Avatar - The way of water,Disney,12/15/2022,EUA,Ficção-científica,14,5.194,120.935.794,5.792.764
Batman,The Batman,Warner,3/3/2022,EUA,Ação,14,3.095,114.989.069,5.916.556
Pantera Negra - Wakanda para sempre,Black Panther - Wakanda Forever,Disney,11/10/2022,EUA,Ação,12,3.756,112.280.451,5.715.365
Top Gun - Maverick,Top Gun - Maverick,Paramount,5/26/2022,EUA / China,Ação,12,2.319,110.460.482,5.063.555
Homem-Aranha - Sem volta para casa,Spider-Man - No way home,Sony,12/16/2021,EUA,Ação/ Aventura,12,2.974,105.656.393,5.910.572
Adão Negro,Black Adam,Warner,10/20/2022,EUA,Ação,14,2.787,80.154.950,4.373.362
Jurassic World - Domínio,Jurassic World - Dominion,Universal,6/2/2022,EUA,Aventura,12,2.825,77.072.673,3.963.988
Sonic 2 - O filme,Sonic the hedgehog 2,Paramount,4/7/2022,EUA / Japão,Aventura,10,1.934,57.491.026,3.199.050
Animais fantásticos - Os segredos de Dumbledore,Fantastic beasts - The secrets of Dumbledore,Warner,4/14/2022,EUA,Aventura,12,2.219,51.698.055,2.631.693
Órfã 2 - A origem,Orphan - First Kill,Diamond/Galeria,9/15/2022,EUA,Terror,16,1.488,27.617.172,2.145.472
Uncharted - Fora do mapa,Uncharted,Sony,2/17/2022,EUA,Ação,12,1.891,27.057.237,1.481.056
Sing 2,Sing 2,Universal,1/6/2022,EUA,Animação,Livre,1.331,26.630.273,1.618.985
Elvis,Elvis,Warner,7/14/2022,EUA / Austrália,Biografia,14,1.220,26.300.261,1.112.988
Lightyear,Lightyear,Disney,6/16/2022,EUA,Animação,Livre,2.218,25.038.192,1.287.243
Morbius,Morbius,Sony,3/31/2022,EUA,Ação,14,2.755,23.456.603,1.263.640
"Mulher rei, A",The woman king,Sony,9/22/2022,EUA / Canadá,Drama,14,1.444,23.111.319,1.227.936
"Telefone preto, O",The black phone,Universal,7/21/2022,EUA,Terror,16,1.110,22.762.525,1.304.906
Sorria,Smile,Paramount,9/29/2022,EUA,Terror,16,967,17.728.012,1.024.741
Pânico,Scream 5,Paramount,1/13/2022,EUA,Terror,16,1.155,15.846.211,912.915
DC Liga dos SuperPets,DC super pets,Warner,7/28/2022,EUA,Animação,Livre,1.282,15.580.380,878.551
Não! Não olhe!,Nope,Universal,8/25/2022,EUA,Terror,14,878,13.721.611,831.454
Ingresso para o paraíso,Ticket to paradise,Universal,9/8/2022,EUA,Comédia,12,1.009,13.049.195,735.637
Trem-bala,Bullet train,Sony,8/4/2022,EUA,Ação,16,1.530,12.626.883,622.285
Turma da Mônica - Lições,Turma da Mônica - Lições,DT/Paris,12/30/2021,Brasil,Infantil,Livre,0,12.441.213,766.126
"Aventuras de Tadeo e a Tábua de Esmeralda, As",Tad the lost explorer and the emerald tablet,Paramount,10/6/2022,Espanha,Animação,Livre,1.038,10.429.089,613.812
Mundo estranho,Strange world,Disney,11/24/2022,EUA,Animação,Livre,1.829,9.952.964,579.422
Cidade perdida,The lost city,Paramount,4/21/2022,EUA,Ação,14,805,9.714.222,492.354
"Caras malvados, Os",The bad guys,Universal,3/17/2022,EUA,Animação,Livre,1.465,9.154.703,507.503
Tô ryca 2,Tô ryca 2,DT/Paris,2/3/2022,Brasil,Comédia,12,737,8.633.094,525.639
Moonfall - Ameaça lunar,Moonfall,Diamond/Galeria,2/3/2022,EUA / Canadá / China,Ficção-científica,14,1.327,8.623.145,477.353
Medida Provisória,Medida Provisória,Elo Studios/H2O Films,4/14/2022,Brasil,Drama,14,265,8.387.007,471.625
Detetives do Prédio Azul 3 - Uma aventura no fim do mundo,Detetives do Prédio Azul 3 - Uma aventura no fim do mundo,DT/Paris,4/28/2022,Brasil,Infantil,Livre,905,8.251.783,431.900
Matrix Resurrections,The Matrix Resurrections,Warner,12/22/2021,EUA,Ficção-científica,14,0,7.962.258,410.729
Eduardo e Mônica,Eduardo e Mônica,DT/Paris,1/20/2022,Brasil,Romance,14,718,7.610.473,406.851
Avatar,Avatar,Disney,12/18/2009,EUA,Ficção-científica,12,0,7.571.548,391.827
Halloween ends,Halloween ends,Universal,10/13/2022,EUA,Terror,18,1.783,7.321.967,408.420
Morte no Nilo,Death on the Nile,Disney,2/10/2022,EUA,Policial,14,821,6.921.379,311.081
Exorcismo sagrado,The exorcism of god,Imagem,2/10/2022,EUA / México,Terror,16,800,6.901.873,394.458
"Luz do demônio, A",The devil's light,Paris,11/2/2022,EUA,Terror,14,742,6.824.405,370.036
One Piece film - Red,One Piece film - Red,Diamond/Galeria,11/2/2022,Japão,Animação,12,566,6.524.167,362.226
"Lilo, Lilo, Crocodilo","Lyle, Lyle, Crocodile",Sony,11/2/2022,EUA,Animação,Livre,658,6.278.289,339.691
"Homem do Norte, O",The Northman,Universal,5/12/2022,Reino Unido / EUA,Ação,18,651,5.874.741,275.550
Dragon Ball Super - Super hero,Dragon Ball Super - Super hero,Sony,8/18/2022,Japão,Animação,12,1.340,5.807.963,337.877
"Lendário cão guerreiro, O",Paws of fury - The legend of Hank,Paramount,8/25/2022,EUA,Animação,Livre,827,5.509.930,336.128
Jujutsu Kaisen 0,Jujutsu Kaisen 0,Sony,4/28/2022,Japão,Animação,14,865,4.953.888,268.385
"Fera, A",Beast,Universal,8/11/2022,EUA,Suspense,14,1.116,4.654.452,262.351
Predestinado,Predestinado,Imagem,9/1/2022,Brasil,Drama,14,767,4.497.907,265.967
Juntos e enrolados,Juntos e enrolados,Imagem,1/13/2022,Brasil,Comédia,12,497,4.298.082,249.957
Harry Potter e a câmara secreta,Harry Potter and the Chamber of Secrets,Warner,11/22/2002,EUA / Reino Unido,Aventura,10,0,4.225.344,230.777
Coração de fogo,Fireheart,Paris,2/24/2022,Canadá,Animação,Livre,910,4.033.284,215.423
King's Man - A origem,The king's man,Disney,1/6/2022,Reino Unido,Ação,16,742,3.932.656,196.248
Tudo em todo o lugar ao mesmo tempo,Everything everywhere all at once,Diamond/Galeria,6/23/2022,EUA,Ação,14,183,3.893.686,187.371
"Não se preocupe, querida",Don't worry darling,Warner,9/22/2022,EUA,Suspense,16,596,3.678.445,177.736
Amsterdam,Amsterdam,Disney,10/6/2022,EUA,Drama,16,572,3.168.215,130.023
Noite infeliz,Violent night,Universal,12/1/2022,EUA,Ação,16,753,3.076.850,175.270
Ambulância - Um dia de crime,Ambulance,Universal,3/24/2022,EUA,Ação,14,1.046,2.848.214,152.874
After - Depois da promessa,After ever happy,Diamond/Galeria,8/25/2022,EUA,Drama,14,848,2.748.163,163.312
"Menu, O",The menu,Disney,12/1/2022,EUA,Terror,16,496,2.718.737,122.603
"Lugar bem longe daqui, Um",Where the crawdads sing,Sony,9/1/2022,EUA,Drama,14,902,2.627.812,148.691
Spencer,Spencer,Diamond/Galeria,1/27/2022,Alemanha,Biografia,12,538,2.550.145,106.920
"Palestrante, O","Palestrante, O",DT/Paris,8/4/2022,Brasil,Comédia,14,613,2.418.769,126.383
Convite maldito,The invitation,Sony,10/27/2022,EUA,Terror,14,805,2.274.809,129.194
Pluft - O fantasminha,Pluft - O fantasminha,DT/Paris,7/21/2022,Brasil,Comédia,Livre,853,2.273.417,126.996
Nada é por acaso,Nada é por acaso,Imagem,11/17/2022,Brasil,Drama,14,519,2.196.726,147.569
Caça implacável,Last seen alive,Diamond/Galeria,10/13/2022,EUA,Suspense,14,739,2.100.584,112.787
"Beco do pesadelo, O",Nightmare alley,Disney,1/27/2022,EUA,Suspense,16,347,1.928.359,83.842
"Morte, morte, morte",Bodies bodies bodies,Sony,10/6/2022,EUA,Terror,16,829,1.861.795,107.963
"Queda, A",The fall,Paris,9/29/2022,EUA,Suspense,12,637,1.825.559,103.047
"Última chamada, A",The call,Cinemark,9/1/2022,EUA,Terror,16,142,1.762.540,112.619
Assassino sem rastro,Memory,Diamond/Galeria,6/9/2022,EUA,Ação,16,417,1.596.120,78.965
Agente das sombras,Blacklight,California,3/10/2022,Austrália / EUA / China,Ação,14,461,1.521.583,78.975
Marte um,Marte um,Embaúba Filmes,8/25/2022,Brasil,Drama,16,29,1.505.221,87.645
"Suburbanos, Os","Suburbanos, Os",DT/Paris,10/6/2022,Brasil,Comédia,14,518,1.480.174,85.435
"Ritual - Presença maligna, O",The banishing,Playarte,3/17/2022,Reino Unido,Terror,14,393,1.462.707,82.355
