,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2022 (R$), Público 2022,Salas Abertura,Estreia, renda (R$),público
Doutor Estranho no multiverso da loucura,Doctor Strange in the multiverse of madness,Disney,169.432.219,8.489.795,3.831,5/5/2022,169.432.219,8.489.795
Thor - Amor e trovão,Thor - Love and thunder,Disney,123.869.111,6.449.997,3.678,7/7/2022,123.869.111,6.449.997
Minions 2 - A origem de Gru,Minions - The rise of Gru,Universal,122.037.788,6.983.319,2.555,6/30/2022,122.037.788,6.983.319
Avatar - O caminho da água,Avatar - The way of water,Disney,120.935.794,5.792.764,5.194,12/15/2022,120.935.794,5.792.764
Batman,The Batman,Warner,114.989.069,5.916.556,3.095,3/3/2022,114.989.069,5.916.556
Pantera Negra - Wakanda para sempre,Black Panther - Wakanda Forever,Disney,112.280.451,5.715.365,3.756,11/10/2022,112.280.451,5.715.365
Top Gun - Maverick,Top Gun - Maverick,Paramount,110.460.482,5.063.555,2.319,5/26/2022,110.460.482,5.063.555
Homem-Aranha - Sem volta para casa,Spider-Man - No way home,Sony,105.656.393,5.910.572,2.974,12/16/2021,323.977.066,17.873.560
Adão Negro,Black Adam,Warner,80.154.950,4.373.362,2.787,10/20/2022,80.154.950,4.373.362
Jurassic World - Domínio,Jurassic World - Dominion,Universal,77.072.673,3.963.988,2.825,6/2/2022,77.072.673,3.963.988
Sonic 2 - O filme,Sonic the hedgehog 2,Paramount,57.491.026,3.199.050,1.934,4/7/2022,57.491.026,3.199.050
Animais fantásticos - Os segredos de Dumbledore,Fantastic beasts - The secrets of Dumbledore,Warner,51.698.055,2.631.693,2.219,4/14/2022,51.698.055,2.631.693
Órfã 2 - A origem,Orphan - First Kill,Diamond/Galeria,27.617.172,2.145.472,1.488,9/15/2022,27.617.172,2.145.472
Uncharted - Fora do mapa,Uncharted,Sony,27.057.237,1.481.056,1.891,2/17/2022,27.057.237,1.481.056
Sing 2,Sing 2,Universal,26.630.273,1.618.985,1.331,1/6/2022,26.630.273,1.618.985
Elvis,Elvis,Warner,26.300.261,1.112.988,1.220,7/14/2022,26.300.261,1.112.988
Lightyear,Lightyear,Disney,25.038.192,1.287.243,2.218,6/16/2022,25.038.192,1.287.243
Morbius,Morbius,Sony,23.456.603,1.263.640,2.755,3/31/2022,23.456.603,1.263.640
"Mulher rei, A",The woman king,Sony,23.111.319,1.227.936,1.444,9/22/2022,23.111.319,1.227.936
"Telefone preto, O",The black phone,Universal,22.762.525,1.304.906,1.110,7/21/2022,22.762.525,1.304.906
Sorria,Smile,Paramount,17.728.012,1.024.741,967,9/29/2022,17.728.012,1.024.741
Pânico,Scream 5,Paramount,15.846.211,912.915,1.155,1/13/2022,15.846.211,912.915
