Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,Semana
1,Homem-Aranha - Sem volta para casa,Sony,EUA,12/16/2021,2.974,709,3,11.962.988
2,Velozes e furiosos 9,Universal,EUA,6/24/2021,2.041,585,26,4.258.157
3,Eternos,Disney,EUA,11/4/2021,2.158,666,9,4.156.487
4,Venom - Tempo de carnificina,Sony,EUA,10/7/2021,1.867,614,12,4.088.242
5,Shang-Chi e a lenda dos dez anéis,Disney,EUA,9/2/2021,1.728,637,14,2.227.412
6,Viúva Negra,Disney,EUA,7/8/2021,1.699,565,25,2.010.901
7,Invocação do mal 3 - A ordem do demônio,Warner,EUA,6/3/2021,1.239,480,28,1.845.058
8,"Esquadrão Suicida, O",Warner,EUA,8/5/2021,1.745,668,16,1.395.871
9,Encanto,Disney,EUA,11/25/2021,1.259,622,6,1.320.414
10,Mulher-Maravilha 1984,Warner,EUA,12/17/2020,2.034,546,52,1.156.434
11,007 - Sem tempo para morrer,Universal,EUA,9/30/2021,1.894,641,13,1.097.031
12,Space jam - Um novo legado,Warner,EUA,7/15/2021,976,598,25,913.775
13,"Croods 2 - Uma nova era, Os",Universal,EUA,7/1/2021,1.151,579,26,859.242
14,Duna,Warner,Canadá,10/21/2021,1.047,621,11,827.087
15,Godzilla vs Kong,Warner,EUA,5/6/2021,1.011,431,25,802.118
16,Patrulha Canina - O filme,Paramount,EUA,9/9/2021,826,495,15,777.949
17,"Poderoso chefinho 2 - Negócios da família, O",Universal,EUA,8/12/2021,1.188,662,20,708.621
18,"Família Addams 2 - Pé na estrada, A",Universal,EUA,10/28/2021,1.056,637,8,705.443
19,Matrix Resurrections,Warner,EUA,12/22/2021,788,561,3,642.231
20,"Lugar silencioso - Parte II, Um",Paramount,EUA,7/22/2021,1.165,569,10,618.992
21,Cruella,Disney,EUA,5/27/2021,825,351,29,606.694
22,Tom & Jerry - O filme,Warner,EUA,2/18/2021,1.148,577,42,506.526
23,Ghostbusters - Mais além (2021),Sony,EUA,11/18/2021,1.204,562,6,503.237
24,Free Guy - Assumindo o controle,Disney,EUA,8/19/2021,1.084,570,17,461.667
25,Harry Potter e a pedra filosofal,Warner,EUA,11/23/2001,0,0,0,430.756
26,Casa Gucci,Universal,EUA,11/25/2021,709,483,6,424.424
27,Halloween kills - O terror continua,Universal,EUA,10/14/2021,787,601,6,419.596
28,Marighella,DT/Paris,Brasil,11/4/2021,340,281,9,319.541
29,Rogai por nós,Sony,EUA,5/6/2021,453,314,8,294.205
30,Jungle Cruise,Disney,EUA,7/29/2021,835,501,17,289.304
31,Resident Evil - Bem-vindo a Raccoon City,Sony,EUA,12/2/2021,739,555,5,282.658
32,Pinóquio (2021),Imagem,Itália,1/21/2021,550,407,20,271.607
33,Legado explosivo,Imagem/California,EUA,1/7/2021,574,418,19,266.632
34,Mortal Kombat,Warner,Canadá,5/20/2021,919,488,10,257.811
35,Maligno,Warner,EUA,9/9/2021,857,563,5,255.075
36,Infiltrado,Imagem,EUA,8/26/2021,685,461,7,249.637
37,Ron bugado,Disney,EUA,10/21/2021,855,505,7,239.857
38,"Homem nas trevas 2, O",Sony,EUA,8/12/2021,707,454,8,224.080
39,Monster Hunter,Sony,EUA,2/25/2021,743,438,12,190.998
40,Clifford - O gigante cão vermelho,Paramount,EUA,12/2/2021,540,427,5,189.741
41,Escape room 2 - Tensão máxima,Sony,EUA,9/16/2021,649,481,5,185.771
42,Tempo,Universal,EUA,7/29/2021,499,374,16,177.716
43,After - Depois do desencontro (2021),Diamond/Galeria,EUA,9/2/2021,645,523,6,170.186
44,Pedro Coelho 2 - O fugitivo,Sony,EUA,8/26/2021,734,505,16,168.234
45,Ainbo - A guerreira da Amazônia,Paris,Peru,9/30/2021,504,373,13,148.816
46,"Casa sombria, A",Disney,EUA,9/23/2021,547,385,6,133.181
47,Trolls 2,Universal,EUA,12/3/2020,728,453,15,132.859
48,Espiral - O legado de Jogos Mortais,Paris,EUA,6/17/2021,499,382,4,118.791
49,Spirit - O indomável,Universal,EUA,6/10/2021,564,438,24,110.571
50,"Lenda de Candyman, A",Universal,EUA,8/26/2021,546,400,10,107.060
51,"Mensageiro do último dia, O",Disney,EUA,1/14/2021,268,228,16,103.451
52,"Viúva das sombras, A",Paris,Rússia,3/4/2021,398,324,19,97.264
53,Espíritos obscuros,Disney,EUA,10/28/2021,417,296,6,95.107
54,Deus não está morto - O próximo capítulo,California,EUA,11/11/2021,325,252,6,89.137
55,Mate ou morra,Imagem,EUA,9/16/2021,540,442,7,89.086
56,Raya e o último dragão,Disney,EUA,3/4/2021,373,254,41,88.289
57,Missão resgate,Imagem,EUA,12/9/2021,476,376,2,86.651
58,#Semsaída,Playarte,Reino Unido,2/11/2021,334,279,14,81.364
59,Demon Slayer - Mugen Train: O filme,Cinecolor,Japão,5/13/2021,386,275,10,80.467
60,"Tio quase perfeito 2, Um",H2O Films,Brasil,1/7/2021,436,321,9,78.015
