Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,publico
1,Doutor Estranho no multiverso da loucura,Disney,EUA,5/5/2022,2.671,720,33,8.489.795
2,Minions 2 - A origem de Gru,Universal,EUA,6/30/2022,2.175,734,27,6.983.319
3,Thor - Amor e trovão,Disney,EUA,7/7/2022,2.307,708,22,6.449.997
4,Batman,Warner,EUA,3/3/2022,2.529,723,38,5.916.556
5,Homem-Aranha - Sem volta para casa,Sony,EUA,12/16/2021,2.974,709,54,5.910.572
6,Avatar - O caminho da água,Disney,EUA,12/15/2022,2.914,752,3,5.792.764
7,Pantera Negra - Wakanda para sempre,Disney,EUA,11/10/2022,2.484,725,8,5.715.365
8,Top Gun - Maverick,Paramount,EUA,5/26/2022,1.768,706,30,5.063.555
9,Adão Negro,Warner,EUA,10/20/2022,2.208,740,11,4.373.362
10,Jurassic World - Domínio,Universal,EUA,6/2/2022,1.982,727,30,3.963.988
11,Sonic 2 - O filme,Paramount,EUA,4/7/2022,1.808,660,37,3.199.050
12,Animais fantásticos - Os segredos de Dumbledore,Warner,EUA,4/14/2022,1.745,700,36,2.631.693
13,Órfã 2 - A origem,Diamond,EUA,9/15/2022,1.242,685,10,2.145.472
14,Sing 2,Universal,EUA,1/6/2022,1.173,624,52,1.618.985
15,Uncharted - Fora do mapa,Sony,EUA,2/17/2022,1.359,639,38,1.481.056
16,"Telefone preto, O",Universal,EUA,7/21/2022,916,606,13,1.304.906
17,Lightyear,Disney,EUA,6/16/2022,1.692,691,26,1.287.243
18,Morbius,Sony,EUA,3/31/2022,1.903,655,8,1.263.640
19,"Mulher rei, A",Sony,EUA,9/22/2022,1.006,611,15,1.227.936
20,Elvis,Warner,EUA,7/14/2022,895,624,12,1.112.988
21,Sorria,Paramount,EUA,9/29/2022,752,575,12,1.024.741
22,Pânico 5,Paramount,EUA,1/13/2022,952,587,16,912.915
23,DC Liga dos SuperPets,Warner,EUA,7/28/2022,1.267,700,23,878.551
24,Não! Não olhe!,Universal,EUA,8/25/2022,680,470,16,831.454
25,Turma da Mônica - Lições,DT/Paris,Brasil,12/30/2021,968,553,50,766.126
26,Ingresso para o paraíso,Universal,EUA,9/8/2022,764,566,13,735.637
27,Trem-bala,Sony,EUA,8/4/2022,1.128,611,12,622.285
28,"Aventuras de Tadeo e a Tábua de Esmeralda, As",Paramount,Espanha,10/6/2022,1.038,676,13,613.812
29,Mundo estranho,Disney,EUA,11/24/2022,1.485,654,6,579.422
30,Tô ryca 2,DT/Paris,Brasil,2/3/2022,737,539,11,525.639
31,"Caras malvados, Os",Universal,EUA,3/17/2022,1.269,691,39,507.503
32,Cidade perdida,Paramount,EUA,4/21/2022,659,480,11,492.354
33,Moonfall - Ameaça lunar,Diamond/Galeria,EUA,2/3/2022,1.093,616,8,477.353
34,Medida Provisória,Elo Studios/H2O Films,Brasil,4/14/2022,265,194,34,471.625
35,Detetives do Prédio Azul 3 - Uma aventura no fim do mundo,DT/Paris,Brasil,4/28/2022,905,576,34,431.900
36,Matrix Resurrections,Warner,EUA,12/22/2021,788,561,17,410.729
37,Halloween ends,Universal,EUA,10/13/2022,1.434,691,7,408.420
38,Eduardo e Mônica,DT/Paris,Brasil,1/20/2022,717,551,25,406.851
39,Exorcismo sagrado,Imagem,EUA,2/10/2022,693,491,9,394.458
40,Avatar,Disney,EUA,12/18/2009,588,347,671,391.827
41,"Luz do demônio, A",Paris,EUA,11/2/2022,641,479,8,370.036
42,One Piece film - Red,Diamond/Galeria,Japão,11/2/2022,532,448,9,362.226
43,"Lilo, Lilo, Crocodilo",Sony,EUA,11/2/2022,658,523,10,339.691
44,Dragon Ball Super - Super hero,Sony,Japão,8/18/2022,1.065,599,11,337.877
45,"Lendário cão guerreiro, O",Paramount,EUA,8/25/2022,826,554,16,336.128
46,Morte no Nilo,Disney,EUA,2/10/2022,631,448,15,311.081
47,"Homem do Norte, O",Universal,Reino Unido,5/12/2022,501,407,10,275.550
48,Jujutsu Kaisen 0,Sony,Japão,4/28/2022,658,410,6,268.385
49,Predestinado,Imagem,Brasil,9/1/2022,767,555,9,265.967
50,"Fera, A",Universal,EUA,8/11/2022,885,649,9,262.351
51,Juntos e enrolados,Imagem,Brasil,1/13/2022,497,402,7,249.957
52,Harry Potter e a câmara secreta,Warner,EUA,11/22/2002,0,0,0,230.780
53,Coração de fogo,Paris,Canadá,2/24/2022,910,481,42,215.423
54,King's Man - A origem,Disney,Reino Unido,1/6/2022,571,419,6,196.248
55,Tudo em todo o lugar ao mesmo tempo,Diamond,EUA,6/23/2022,183,138,28,187.371
56,"Não se preocupe, querida",Warner,EUA,9/22/2022,458,381,10,177.736
57,Noite infeliz,Universal,EUA,12/1/2022,625,506,5,175.270
58,After - Depois da promessa,Diamond/Galeria,EUA,8/25/2022,662,559,7,163.312
59,Ambulância - Um dia de crime,Universal,EUA,3/24/2022,805,582,14,152.874
60,"Lugar bem longe daqui, Um",Sony,EUA,9/1/2022,705,475,8,148.691
61,Nada é por acaso,Imagem,Brasil,11/17/2022,519,420,7,147.569
62,Amsterdam,Disney,EUA,10/6/2022,404,254,11,130.023
63,Convite maldito,Sony,EUA,10/27/2022,648,501,7,129.194
64,Pluft - O fantasminha,DT/Paris,Brasil,7/21/2022,727,448,22,126.996
65,"Palestrante, O",DT/Paris,Brasil,8/4/2022,613,452,7,126.383
66,"Menu, O",Disney,EUA,12/1/2022,371,233,5,122.603
67,Caça implacável,Diamond/Galeria,EUA,10/13/2022,612,461,5,112.787
68,"Última chamada, A",Cinemark,EUA,9/1/2022,117,79,7,112.619
69,"Morte, morte, morte",Sony,EUA,10/6/2022,632,420,10,107.963
70,Spencer,Diamond/Galeria,Alemanha,1/27/2022,413,338,23,106.920
71,"Queda, A",Paris,EUA,9/29/2022,490,407,5,103.047
72,Marte um,Embaúba Filmes,Brasil,8/25/2022,29,26,19,87.877
73,"Pitada de sorte, Uma",DT/Paris,Brasil,9/15/2022,256,216,5,86.430
74,"Suburbanos, Os",DT/Paris,Brasil,10/6/2022,518,384,4,85.435
75,"Beco do pesadelo, O",Disney,EUA,1/27/2022,263,209,19,83.842
76,"Ritual - Presença maligna, O",Playarte,Reino Unido,3/17/2022,354,273,6,82.355
77,Agente das sombras,California,Austrália,3/10/2022,374,318,4,78.975
78,Assassino sem rastro,Diamond/Galeria,EUA,6/9/2022,362,295,5,78.965
79,Gêmeo maligno,Paris,Finlândia,8/11/2022,388,320,6,76.948
80,Crepúsculo,Paris,EUA,12/19/2008,518,210,730,76.437
81,BTS - Permission to dance on stage - Seoul,Trafalgar,Coréia do Sul,3/12/2022,218,156,1,74.794
82,Terrifier 2,Imagem,EUA,12/29/2022,678,486,1,74.189
83,Pinocchio - O menino de madeira,Playarte,Rússia,9/7/2022,216,168,16,72.749
84,Bem-vinda a Quixeramobim,DT/Paris,Brasil,10/13/2022,58,38,12,71.690
85,"Agentes 355, As",Diamond/Galeria,EUA,1/20/2022,553,437,10,69.824
86,"Médium, A",Paris,Tailândia,5/19/2022,312,248,6,68.368
87,Case comigo,Universal,EUA,2/10/2022,541,436,9,58.549
88,Licorice Pizza,Universal,EUA,2/17/2022,116,109,24,57.691
89,Belfast,Universal,Reino Unido,3/10/2022,120,94,15,56.744
90,Encanto,Disney,EUA,11/25/2021,1.259,622,58,52.933
91,Festival Varilux 2022,Festival Varilux,França,6/21/2022,5,5,18,52.539
92,Irmãos de honra,Diamond,EUA,12/8/2022,420,330,4,52.400
93,"Pior pessoa do mundo, A",Diamond,Noruega,3/24/2022,23,20,39,51.421
94,Papai é pop,Diamond/Galeria,Brasil,8/11/2022,718,544,10,51.010
95,X - A marca da morte,Playarte,EUA,8/11/2022,268,245,7,50.440
96,"Boa sorte, Leo Grande",Paris,Reino Unido,7/28/2022,107,85,15,45.142
97,"Maldição do quarto 203, A",Playarte,EUA,12/1/2022,247,200,5,43.097
98,"Hora do desespero, A",Paris,EUA,6/9/2022,355,283,8,41.093
99,Alemão 2,Manequim Filmes,Brasil,3/31/2022,278,238,8,41.082
100,Tubarão - Mar de sangue,Paris,Reino Unido,12/1/2022,371,292,5,39.782
101,Veja por mim,Paris,Canadá,6/23/2022,273,212,7,38.820
102,Era uma vez um gênio,Paris,EUA,9/1/2022,424,320,11,38.658
103,A saga Crepúsculo - Lua nova,Paris,EUA,11/20/2009,839,338,683,36.593
104,Me tira da mira,Imagem,Brasil,3/24/2022,487,377,3,35.879
105,"Aventuras de Gulliver, As",Imagem,Ucrânia,2/3/2022,501,401,42,35.270
106,Festival do Rio 2022,Festivais,Brasil,10/6/2022,15,6,12,34.610
107,Drive my car,O2 Play,Japão,3/17/2022,63,60,42,33.311
108,Chamas da vingança,Universal,EUA,5/19/2022,445,346,7,32.195
109,Coldplay - Live broadcast from Buenos Aires,Distribuição Própria,Reino Unido,10/27/2022,229,212,3,32.155
110,Dog - A aventura de uma vida,Diamond/Galeria,EUA,5/19/2022,328,262,6,30.151
111,Minha família perfeita,Disney,Brasil,9/8/2022,206,177,5,29.996
112,My Hero Academia - Missão mundial de heróis,Sony,Japão,1/6/2022,53,50,9,29.963
113,Epa 2: A aventura continua,Playarte,Irlanda,3/31/2022,291,210,29,29.707
114,Acampamento intergaláctico,Synapse,Brasil,9/22/2022,83,79,11,28.945
115,Até os ossos,Warner,Itália,12/1/2022,208,167,5,28.925
116,45 do segundo tempo,DT/Paris,Brasil,8/18/2022,260,235,9,27.372
117,"Festival do amor, O",Imagem,Espanha,1/6/2022,95,80,43,26.309
118,Até a morte - Sobreviver é a melhor vingança,Playarte,EUA,6/9/2022,229,183,4,26.065
119,"Peso do talento, O",Paris,EUA,5/12/2022,270,236,5,25.979
120,Purgatório - Segredos revelados,Kolbe Arte Produções,Polônia,10/24/2022,60,44,8,25.929
121,Moonage daydream,Universal,Alemanha,9/15/2022,22,20,16,25.767
122,Aftersun,O2 Play/Mubi,Reino Unido,12/1/2022,37,32,5,25.631
123,A saga Crepúsculo: Amanhecer - Parte 1,Paris,EUA,11/18/2011,1.115,419,580,24.267
124,Downton Abbey - Uma nova era,Universal,Reino Unido,4/28/2022,154,109,7,23.683
125,"Jaula, A",Disney,Brasil,2/17/2022,244,212,4,22.978
126,Casa Gucci,Universal,EUA,11/25/2021,709,483,22,22.503
127,"Pronto, falei",Imagem,Brasil,12/8/2022,419,353,3,22.442
128,Festivais e Mostras 2022,Festivais,Brasil,2/10/2022,1,1,46,21.950
129,46ª Mostra Internacional de Cinema SP 2022,Distribuição Própria,Brasil,10/20/2022,9,5,2,21.222
130,A saga Crepúsculo - Eclipse,Paris,EUA,6/30/2010,956,377,653,19.629
131,"Maldição - Despertar dos mortos, A",Diamond,Coréia do Sul,11/17/2022,145,117,5,19.526
132,ET - O extraterrestre,Universal,EUA,7/23/2015,82,47,388,18.476
133,Mais que amigos,Universal,EUA,10/6/2022,188,144,6,18.441
134,Eike - Tudo ou nada,DT/Paris,Brasil,9/22/2022,232,197,7,18.380
135,Maria - Ninguém sabe quem sou eu,Arteplex Filmes,Brasil,9/1/2022,32,31,15,18.231
136,Men - Faces do medo,Paris,Reino Unido,9/8/2022,112,95,5,17.983
